genes	baseMean	log2FoldChange	lfcSE	pvalue	padj
AC002377.1	AC002377.1	0.926827990345505	-0.100207138589126	0.518927503754728	0.77054093349982	0.82827295176964
AC002378.1	AC002378.1	7.64412624835601	-1.67910711016185	0.341673770853318	1.95069513974168e-07	5.37947080606399e-07
AC002383.1	AC002383.1	3.3454422431371	0.57991895570567	0.598757773472195	0.264273611223375	0.335151554934901
AC002398.1	AC002398.1	11.2777213061049	0.391017138405982	0.0914374267613389	1.61327808015653e-05	3.73656292519064e-05
AC002401.2	AC002401.2	6.57183738399899	-2.70969691395349	0.326913845771363	1.59714118070973e-17	8.89634554351858e-17
AC002401.3	AC002401.3	7.93498250338649	-2.93665143119021	0.282983972274273	4.77398580816968e-26	4.33013614018776e-25
AC002401.4	AC002401.4	1.99380351790532	-0.33274418882595	0.31407974508615	0.248964406467424	0.317753301624759
AC002428.2	AC002428.2	0.998071365450524	-0.00583456167822593	0.735172030412615	0.957565928753797	0.97328042393453
AC002451.1	AC002451.1	36.9817411716109	-2.79447227371586	0.145503039426824	1.12006310215698e-80	1.46707524473266e-78
AC002456.1	AC002456.1	27.0321921570022	-0.316545616491898	0.152896051209419	0.0336258198380357	0.0517011051072619
AC002458.1	AC002458.1	0.501955586173321	-0.0789034432605193	0.700662855428765	0.893980519676372	0.925272061762267
AC002460.2	AC002460.2	8.57016491719976	-2.64192127458487	0.218872124515283	2.46320200166713e-35	3.64481752255054e-34
AC002463.1	AC002463.1	5.68922787826751	-0.0695852471786704	0.143943142769183	0.620644932286218	0.696598052312104
AC002467.1	AC002467.1	85.6392151804134	0.100216566751213	0.0694400346911674	0.147421142556787	0.199066388183306
AC002470.1	AC002470.1	25.0447564077294	0.0552284898569437	0.109356944268244	0.610691506828774	0.687324331328356
AC002480.1	AC002480.1	15.0980121093883	-1.78082737986664	0.157273720066001	2.43888945565263e-30	2.7494843990805e-29
AC002480.2	AC002480.2	14.9236453454127	-1.84986290909089	0.158439568001666	3.2098801589594e-32	3.9999088027343e-31
AC002511.1	AC002511.1	4.22306533961362	-1.41483166485274	0.36637784817136	3.48420976322147e-05	7.79078643628777e-05
AC002511.2	AC002511.2	3.30160753710752	-1.30221470053764	0.389091267407648	0.000269547700092011	0.000548541513048335
AC002519.1	AC002519.1	5.33976873908884	0.206203885714086	0.17313715644731	0.220384896901323	0.285245522018046
AC002519.2	AC002519.2	3.26520841321045	-0.262647089473866	0.160119373426958	0.097438557560958	0.136824085294551
AC002525.1	AC002525.1	26.7429403194738	0.0178162460522148	0.102718657200873	0.862669667994819	0.90106946362263
AC002542.6	AC002542.6	3.83918411938343	-0.620221540734285	0.196498703816977	0.00103893047362171	0.00197356051993509
AC002543.1	AC002543.1	1.42177109493368	-1.2745382356773	0.40889627225975	0.000756690733117541	0.00146255494216002
AC002546.1	AC002546.1	113.676734568394	-5.19920792581816	0.477702884190978	3.36974857375383e-28	3.39809404935284e-27
AC002550.2	AC002550.2	20.0086447147837	0.0892079906836622	0.0896588287603083	0.317308779288786	0.393258278589379
AC002551.1	AC002551.1	0.746574201899527	0.17270573218356	0.514700080941839	0.679014682038287	0.748405212010784
AC002553.1	AC002553.1	37.1532252025293	-0.488225033531325	0.0918970080929809	8.61424635829127e-08	2.44614439104682e-07
AC002553.2	AC002553.2	15.4536372661014	-0.875376636078211	0.122551695297478	4.57471437209923e-13	1.92097807847648e-12
AC002558.1	AC002558.1	2.73752976081613	-0.546060234539767	0.199724325125092	0.00444776647053579	0.00781707888035475
AC002558.2	AC002558.2	0.98946015287307	-0.175445941151259	0.391521624999748	0.641823907391836	0.715938130359333
AC002558.3	AC002558.3	3.5317466282699	-0.450059102026265	0.172189122157139	0.00745513524438529	0.0127103532718356
AC002563.1	AC002563.1	0.701086843303159	0.998874360430315	1.16092451888085	0.111778004759734	0.155087651078034
AC002984.1	AC002984.1	1.43606715267787	-1.38610897119382	0.277632968604905	1.92198547581749e-07	5.3019513535324e-07
AC003002.2	AC003002.2	4.79100013425376	0.0987250416405078	0.156123399358832	0.519854169637883	0.601375248086217
AC003002.3	AC003002.3	5.30508427116106	-0.0529605297715767	0.135881689222443	0.689659025178298	0.758153292677355
AC003005.2	AC003005.2	2.81249007781879	0.746439108764457	0.228121283845415	0.000701998632768052	0.0013621924259786
AC003035.1	AC003035.1	4.51741831578468	-1.02191508714332	0.187703593176306	1.66824696531373e-08	5.01807892560347e-08
AC003043.2	AC003043.2	0.592472713699348	0.238085758077527	0.68502983390469	0.610644370841597	0.687293153458295
AC003070.1	AC003070.1	5.93266115170979	-0.312794867936768	0.147548307394988	0.0300332797676092	0.0465988215233404
AC003072.1	AC003072.1	52.0690627332737	0.0209430893225043	0.0787971179288662	0.78874762397313	0.843198471617361
AC003077.1	AC003077.1	2.52578062119626	-0.909999897726372	0.228111642007371	3.2067577623341e-05	7.19815856965695e-05
AC003086.1	AC003086.1	45.8410651268935	-0.399489055468407	0.14206715753273	0.00405939651483459	0.00717229005531201
AC003092.1	AC003092.1	1.65215805876265	-0.455009647995338	0.498976159431755	0.262594091324317	0.333188864799242
AC003093.1	AC003093.1	1.12601866730357	0.297072723513117	0.523088326855248	0.47168903389428	0.553992982088646
AC003101.1	AC003101.1	1.15816090650875	-1.27559362489714	0.370581510559066	0.000258301049163449	0.00052689719119025
AC003101.2	AC003101.2	6.35889052761448	-0.647994770202976	0.155528394349388	1.93523208722394e-05	4.44267982893053e-05
AC003102.1	AC003102.1	110.223376782573	0.454485422179092	0.0918871480333727	6.46931043849797e-07	1.7091525747608e-06
AC003681.1	AC003681.1	169.879199156014	-0.699478074230014	0.0916003661813536	1.69412862670841e-14	7.8193105978192e-14
AC003682.1	AC003682.1	3.44346920490828	-1.00789866796576	0.189555971348443	4.00507107793864e-08	1.16999288510904e-07
AC003956.1	AC003956.1	4.41204039613366	-0.382770780758991	0.17521318219741	0.0235649188339886	0.0372340878636407
AC003957.1	AC003957.1	2.80535471351348	-1.26795915180639	0.261989914744469	4.40360680602226e-07	1.17908505977421e-06
